dataset,forget_class,seed,method,dr_acc,yu_acc,lpr_acc,lpr_auroc,cka_original,cka_retrain,separability
MNIST,0,42,Retrain,99.33481152993348,0.0,99.05727257643632,0.9998353369433508,0.9839554399391318,1.0000000081051554,0.2997223868038127
MNIST,0,42,FT,99.3458980044346,99.59183673469389,99.60443157307267,0.9999597769632612,0.994060062591002,0.9861493242440534,0.8306281910368296
MNIST,0,42,BU,66.51884700665188,0.0,99.37893117335624,0.9998391078530452,0.8563817482354668,0.8544116828921309,0.1728900925669668
MNIST,0,42,Target,11.441241685144124,0.0,99.19038568864352,0.9997096399535425,0.8087082157293348,0.8241558310888403,0.3782851460889631
MNIST,0,123,Retrain,99.3569844789357,0.0,99.71906722777804,0.99982276724437,0.9830965346033732,0.9999999940936828,0.3173974384611311
MNIST,0,123,FT,99.29046563192904,99.48979591836736,99.4343635458618,0.9999233248362168,0.994828566402612,0.9851756034165527,0.8505219849206471
MNIST,0,123,BU,57.71618625277162,0.0,98.83177217671992,0.9996857575254788,0.8320802542723661,0.8414305069973176,0.165457040129265
MNIST,0,123,Target,10.886917960088692,0.0,98.3770004675928,0.9990962386432768,0.7844499729018058,0.7961737815690331,0.2490901426831952
MNIST,0,456,Retrain,99.37915742793793,0.0,99.36045371585442,0.9998416217928412,0.9807415835332254,0.9999999985419642,0.301171219720707
MNIST,0,456,FT,99.26829268292684,99.59183673469389,99.45284100336364,0.9998919005887646,0.9961441956329092,0.9845293047504798,0.8491242484475753
MNIST,0,456,BU,62.82705099778271,0.0,98.69865906451273,0.9994997259805622,0.8724981493301637,0.8728777312520631,0.1055024579766068
MNIST,0,456,Target,10.886917960088692,0.0,99.17190823114169,0.9988360458743736,0.791662991724817,0.7913989260785287,0.2437941913449226
MNIST,3,42,Retrain,99.36596218020024,0.0,98.62425063418466,0.9997870754817416,0.9843738530293958,1.000000000120156,0.5255514477452244
MNIST,3,42,FT,99.2992213570634,99.10891089108912,98.991361872561,0.999969407396802,0.9939939039908092,0.9861191390739252,0.9650804669051192
MNIST,3,42,BU,45.7285873192436,0.0,98.80780625337285,0.999581493188251,0.7617831823667272,0.7409738815366164,0.5735621681938001
MNIST,3,42,Target,21.690767519466075,0.0,93.3029732339196,0.989012360635396,0.8241130360412023,0.8344340045694424,0.0610807115203237
MNIST,3,123,Retrain,99.38820912124582,0.0,98.62425063418466,0.9998543792087772,0.9817422430775632,1.0000000219473646,0.4947052012397822
MNIST,3,123,FT,99.2547274749722,99.3069306930693,99.15637837421116,0.9999339199770922,0.991968629338006,0.9858928270232572,0.9361072259142698
