dataset,architecture,method,K,dr_acc,yu_acc,lpr_acc,cka_original,cka_retrain,separability
BrainTumor,resnet18,Retrain,2,99.08333333333331,0.0,79.86111111111111,0.9778307702729196,0.9999999732603632,0.1858371803057142
BrainTumor,resnet18,Target,2,33.333333333333336,0.0,78.8888888888889,0.7444640631191225,0.7108405775385912,0.233542212799067
BrainTumor,resnet18,FT,2,98.58333333333331,77.5,90.13888888888889,0.9886599774733554,0.9851857329869615,0.4535090593898334
BrainTumor,resnet18,BU,2,59.166666666666664,0.25,87.91666666666667,0.8437906359479759,0.7994287531494413,0.3202658155894218
BrainTumor,resnet18,Retrain,4,99.16666666666669,0.0,80.41666666666667,0.9865327590285528,0.9999999820476108,0.147505154289913
BrainTumor,resnet18,Target,4,33.333333333333336,0.0,77.22222222222223,0.3464050306235739,0.3325452891976648,0.1574301428755127
BrainTumor,resnet18,FT,4,98.83333333333331,77.0,91.80555555555556,0.9943099523310756,0.9904311986941858,0.3561976591793852
BrainTumor,resnet18,BU,4,90.33333333333331,0.0,89.02777777777777,0.9769608122275276,0.9625013300465638,0.2414867104683941
BrainTumor,resnet18,Retrain,8,98.75,0.0,80.69444444444444,0.9896741019282724,0.9999999882856034,145.44535630274808
BrainTumor,resnet18,Target,8,33.333333333333336,0.0,77.08333333333333,0.0,0.0,0.3840417560783575
BrainTumor,resnet18,FT,8,97.75,77.5,89.8611111111111,0.989510696055938,0.9842435405874942,241.87834964020837
BrainTumor,resnet18,BU,8,63.166666666666664,0.0,87.91666666666667,0.9123917962571936,0.9081149672587288,211.97398220393268
CIFAR100,resnet18,Retrain,2,62.25252525252525,0.0,74.93265993265994,0.9919610541071144,1.000000026986947,0.4782544988300721
CIFAR100,resnet18,Target,2,1.0101010101010102,0.0,54.93265993265993,0.634450807197688,0.6367864539196234,0.0366525302291282
CIFAR100,resnet18,FT,2,61.101010101010104,22.0,84.93265993265993,0.9984634251495796,0.9910680442021464,0.5273164516885811
CIFAR100,resnet18,BU,2,32.494949494949495,0.0,83.24915824915824,0.9829638419948684,0.9772015587923888,0.4434087726260827
CIFAR100,resnet18,Retrain,4,59.72727272727273,0.0,73.28282828282828,0.9952481700817946,0.9999999821895952,0.4119914445027179
CIFAR100,resnet18,Target,4,1.0101010101010102,0.0,51.54882154882156,0.7936078199524711,0.7894247863423298,0.2635847341692106
CIFAR100,resnet18,FT,4,59.45454545454545,16.0,76.53198653198653,0.9992628071277472,0.9950501328310758,0.5176751425568936
CIFAR100,resnet18,BU,4,36.48484848484848,0.0,79.8821548821549,0.9882980613877596,0.9845974117604152,0.3170601590687086
CIFAR100,resnet18,Retrain,8,57.696969696969695,0.0,73.24915824915826,0.9968606053103622,1.0000000420247095,0.3345143359842761
CIFAR100,resnet18,Target,8,1.0101010101010102,0.0,51.4983164983165,0.6001728320642162,0.596566965132531,0.0826629109393994
CIFAR100,resnet18,FT,8,56.62626262626262,11.0,78.26599326599326,0.9994483872080372,0.996610757709689,0.4171354491670006
CIFAR100,resnet18,BU,8,35.01010101010101,0.0,78.26599326599326,0.9919314291719176,0.9899642459035434,0.2766865751580595
CIFAR10,resnet18,Retrain,2,89.97777777777777,0.0,82.75925925925927,0.990167960160496,1.000000019163536,0.1072023938001217
CIFAR10,resnet18,Target,2,22.42222222222222,0.0,83.94444444444444,0.9334836249999728,0.9360092283915614,0.0508936194144913
CIFAR10,resnet18,FT,2,89.55555555555556,41.7,90.68518518518518,0.998535433778575,0.9905039519407152,0.1540111217009232
CIFAR10,resnet18,BU,2,50.388888888888886,0.0,87.5925925925926,0.9673654271128386,0.9638486932767932,0.110529518785191
CIFAR10,resnet18,Retrain,4,88.02222222222223,0.0,81.55555555555556,0.9948175786435934,1.000000035017159,0.139202600197437
CIFAR10,resnet18,Target,4,16.81111111111111,0.0,76.68518518518519,0.9055903016647018,0.9074658984891024,0.3598163479857522
CIFAR10,resnet18,FT,4,87.9888888888889,32.3,87.5925925925926,0.9991622107421934,0.9946867660562652,0.1956143275579738
CIFAR10,resnet18,BU,4,44.18888888888889,0.0,86.11111111111111,0.9690391679236676,0.9633559374133022,0.3328152540997006
CIFAR10,resnet18,Retrain,8,85.21111111111111,0.0,80.9074074074074,0.9966267386987172,1.000000025922977,0.1267974383013095
CIFAR10,resnet18,Target,8,11.11111111111111,0.0,69.0,0.7547001048803977,0.757714896370691,0.2108412363073925
CIFAR10,resnet18,FT,8,84.83333333333333,19.9,87.09259259259258,0.9994122437731654,0.9966212263695612,0.1508515089480875
CIFAR10,resnet18,BU,8,35.67777777777778,0.0,84.62962962962963,0.9814396552380392,0.9778700052658684,0.281234219681525
COVID19,resnet18,Retrain,2,92.87546309489883,0.0,76.1692509004337,0.986004841838482,0.999999946709623,0.0349990262820701
COVID19,resnet18,Target,2,34.25477343972642,0.0,67.52399333044494,0.6616470719288651,0.6707262103440634,0.1212940154937747
COVID19,resnet18,FT,2,91.30806497577656,92.25449515905947,97.08557074148472,0.9979192750277184,0.9863729357346168,0.2800900427154872
COVID19,resnet18,BU,2,83.87004844685096,0.0,95.23525061159472,0.9175371156836296,0.9049188736275984,0.1238471829622624
COVID19,resnet18,Retrain,4,91.22257053291536,0.0,79.21912814385932,0.9881390941899516,1.000000002289129,0.0545115627430125
COVID19,resnet18,Target,4,34.25477343972642,0.0,60.699515538225214,0.9110003557409676,0.9086137717367148,0.2347008324762315
COVID19,resnet18,FT,4,90.51011684240524,90.8713692946058,97.0310852031282,0.9990914107645666,0.9887242124654468,0.3571899754389421
COVID19,resnet18,BU,4,82.9296095753776,0.0,95.08579831160476,0.9717220480508316,0.9593182937465315,0.1705876122798842
COVID19,resnet18,Retrain,8,90.96608720433171,0.0,79.92437669857024,0.9914240384415944,0.9999999712604544,0.0531091457971866
COVID19,resnet18,Target,8,7.6660017098888575,0.0,68.60057505218795,0.0,0.0,0.0787700495426817
COVID19,resnet18,FT,8,90.2536335138216,89.07330567081604,96.33984096349688,0.99920717211764,0.9909476291573144,0.1912867914344651
COVID19,resnet18,BU,8,80.22228555143916,0.0,94.99783370751112,0.9886815307163228,0.9812262021062654,0.0829006012664382
MNIST,resnet18,Retrain,2,99.3569844789357,0.0,99.36045371585442,0.9812629919171436,0.999999981902523,0.3113053871308382
MNIST,resnet18,Target,2,11.197339246119734,0.0,98.28461318008355,0.7572833307864677,0.7723643174875489,0.0236732551570697
MNIST,resnet18,FT,2,99.26829268292684,99.48979591836736,99.58595411557084,0.9954431132676844,0.985676617597766,0.7883563207881489
MNIST,resnet18,BU,2,52.46119733924612,0.0,99.0387951189345,0.8511952039994064,0.8445034955989886,0.202319248086509
MNIST,resnet18,Retrain,4,99.30155210643017,0.0,98.88720454922546,0.9898620036186864,0.999999991834859,0.4133838840270204
MNIST,resnet18,Target,4,11.441241685144124,0.0,97.60811198093428,0.4995335927511967,0.4920765698917939,3.564389065148699
MNIST,resnet18,FT,4,99.3569844789357,99.3877551020408,99.58595411557084,0.9964892757833952,0.9900718957970704,0.8626703145175176
MNIST,resnet18,BU,4,63.88026607538803,0.0,99.17190823114169,0.91505495742922,0.914136800333553,0.3700126477867521
ModelNet10,resnet18,Retrain,2,82.51748251748252,0.0,75.69767441860465,0.9896329665567654,0.999999982622918,0.1341376820135021
ModelNet10,resnet18,Target,2,10.023310023310025,0.0,59.61240310077519,0.9323489255219484,0.9337107372881546,0.0015752059082855
ModelNet10,resnet18,FT,2,81.58508158508158,48.0,69.41860465116278,0.999703169192358,0.9894053219946553,0.2395099510680291
ModelNet10,resnet18,BU,2,72.49417249417249,4.0,65.89147286821705,0.9575833898370344,0.952272755921031,0.1565981059274104
ModelNet10,resnet18,Retrain,4,79.13752913752914,0.0,72.17054263565892,0.989167241457757,0.9999999422267896,71.65162044260067
ModelNet10,resnet18,Target,4,10.023310023310025,0.0,49.8062015503876,0.8928451560229964,0.9168810377687538,0.2482907952255437
ModelNet10,resnet18,FT,4,80.18648018648018,58.0,72.17054263565892,0.9986613986684578,0.9913728124207224,117.06055227398768
ModelNet10,resnet18,BU,4,75.4079254079254,18.0,72.36434108527132,0.9856186800552644,0.9660797209808736,83.27926005829337
ModelNet10,resnet18,Retrain,8,77.97202797202797,0.0,62.17054263565891,0.9910934910093704,1.0000000306624812,91.20205322342836
ModelNet10,resnet18,Target,8,11.655011655011656,0.0,48.44961240310077,0.9007104707428745,0.9058158216651166,1.203099329502552
ModelNet10,resnet18,FT,8,76.68997668997669,58.0,71.97674418604652,0.9996356862238756,0.9915782197946152,152.5336759777279
ModelNet10,resnet18,BU,8,75.17482517482517,18.0,72.17054263565892,0.9876314583803056,0.9801021881150984,108.68591302651542
