dataset,seed,method,layer,lpr_acc
CIFAR10,42,Retrain,final,82.94444444444444
CIFAR10,42,Retrain,block_A,68.48148148148148
CIFAR10,42,Retrain,block_B,76.37037037037038
CIFAR10,42,Retrain,block_C,82.94444444444444
CIFAR10,42,FT,final,89.94444444444444
CIFAR10,42,FT,block_A,70.24074074074073
CIFAR10,42,FT,block_B,81.74074074074073
CIFAR10,42,FT,block_C,89.94444444444444
CIFAR10,42,BU,final,88.68518518518519
CIFAR10,42,BU,block_A,68.33333333333333
CIFAR10,42,BU,block_B,81.31481481481482
CIFAR10,42,BU,block_C,88.68518518518519
CIFAR10,42,Target,final,77.37037037037037
CIFAR10,42,Target,block_A,67.94444444444444
CIFAR10,42,Target,block_B,78.5925925925926
CIFAR10,42,Target,block_C,77.37037037037037
CIFAR10,123,Retrain,final,83.35185185185185
CIFAR10,123,Retrain,block_A,66.61111111111111
CIFAR10,123,Retrain,block_B,76.53703703703705
CIFAR10,123,Retrain,block_C,83.18518518518519
CIFAR10,123,FT,final,90.0925925925926
CIFAR10,123,FT,block_A,67.27777777777779
CIFAR10,123,FT,block_B,82.03703703703704
CIFAR10,123,FT,block_C,91.57407407407408
CIFAR10,123,BU,final,87.83333333333333
CIFAR10,123,BU,block_A,66.01851851851852
CIFAR10,123,BU,block_B,79.2962962962963
CIFAR10,123,BU,block_C,87.74074074074075
CIFAR10,123,Target,final,79.07407407407408
CIFAR10,123,Target,block_A,68.18518518518518
CIFAR10,123,Target,block_B,76.61111111111111
CIFAR10,123,Target,block_C,78.55555555555556
CIFAR10,456,Retrain,final,83.51851851851852
CIFAR10,456,Retrain,block_A,67.72222222222221
CIFAR10,456,Retrain,block_B,75.83333333333333
CIFAR10,456,Retrain,block_C,81.64814814814815
CIFAR10,456,FT,final,90.5
CIFAR10,456,FT,block_A,65.81481481481481
CIFAR10,456,FT,block_B,83.72222222222221
CIFAR10,456,FT,block_C,92.79629629629628
CIFAR10,456,BU,final,87.85185185185185
CIFAR10,456,BU,block_A,66.94444444444444
CIFAR10,456,BU,block_B,81.57407407407406
CIFAR10,456,BU,block_C,87.14814814814815
CIFAR10,456,Target,final,81.62962962962963
CIFAR10,456,Target,block_A,66.61111111111111
CIFAR10,456,Target,block_B,78.77777777777779
CIFAR10,456,Target,block_C,81.29629629629629
CIFAR100,42,Retrain,final,73.26599326599327
CIFAR100,42,Retrain,block_A,68.19865319865319
CIFAR100,42,Retrain,block_B,74.83164983164983
CIFAR100,42,Retrain,block_C,73.26599326599327
CIFAR100,42,FT,final,71.64983164983165
CIFAR100,42,FT,block_A,71.58249158249158
CIFAR100,42,FT,block_B,74.91582491582491
CIFAR100,42,FT,block_C,71.64983164983165
CIFAR100,42,BU,final,76.61616161616162
CIFAR100,42,BU,block_A,69.91582491582491
CIFAR100,42,BU,block_B,73.19865319865319
CIFAR100,42,BU,block_C,76.61616161616162
CIFAR100,42,Target,final,56.498316498316505
CIFAR100,42,Target,block_A,56.56565656565656
CIFAR100,42,Target,block_B,56.5993265993266
CIFAR100,42,Target,block_C,56.498316498316505
CIFAR100,123,Retrain,final,76.48148148148148
CIFAR100,123,Retrain,block_A,69.79797979797979
CIFAR100,123,Retrain,block_B,83.11447811447812
