dataset,architecture,seed,method,dr_acc,yu_acc,lpr_acc,lpr_auroc,cka_original,cka_retrain,separability,runtime
MNIST,resnet18,42,Retrain,99.40133037694014,0.0,99.0018402039308,0.9997976278464084,0.9823563509335304,1.0000001697292271,0.3067495238709063,747.1042096614838
MNIST,resnet18,42,FT,99.31263858093126,99.48979591836736,99.60443157307267,0.9999773745418344,0.9944776107590414,0.9867522433046092,0.7996163253844095,54.75122570991516
MNIST,resnet18,42,Fisher,10.842572062084257,0.0,98.4362037497926,0.9986223609916992,0.0,0.0,0.0,1.6871590614318848
MNIST,resnet18,42,Amnesiac,75.2549889135255,0.7142857142857143,99.62290903057452,0.9999358945351976,0.8693815849116308,0.8851943704747302,1.1991482450132362,6.13114333152771
MNIST,resnet18,42,UNSIR,45.41019955654102,0.0,97.51572469342504,0.9967934697899856,0.8669061407058354,0.8769499957319049,0.3886296880394523,67.55524349212646
MNIST,resnet18,42,BU,53.88026607538803,0.0,99.54899920056717,0.9999509781739748,0.8559320687645694,0.8607912385683425,0.1865607764703129,6.204549074172974
MNIST,resnet18,42,SSD,99.3569844789357,98.26530612244898,99.60443157307267,0.999971089692344,0.9964197478191162,0.9789717962628408,0.7004025520535077,12.283648014068604
MNIST,resnet18,42,Target,11.197339246119734,0.0,98.22918080757802,0.9995349211377086,0.8304901126358701,0.8198352693237401,0.2197754197189512,0.8209884166717529
MNIST,resnet18,123,Retrain,99.3680709534368,0.0,99.60443157307267,0.9999032133178476,0.9835120296410024,1.000000024587849,0.3095578712409687,769.5408363342285
MNIST,resnet18,123,FT,99.33481152993348,99.3877551020408,99.62290903057452,0.9999572630234652,0.9959518501702748,0.9839341071839942,0.8323609072711918,55.26726055145264
MNIST,resnet18,123,Fisher,0.1108647450110864,99.89795918367346,98.17374843507248,0.9984375864166806,0.0,0.0,0.0,1.257192850112915
MNIST,resnet18,123,Amnesiac,80.2439024390244,28.571428571428573,99.567476658069,0.9998868727091724,0.8695384589224334,0.8842734066792903,1.466845858057351,6.148786783218384
MNIST,resnet18,123,UNSIR,46.35254988913525,0.0,98.19222589257431,0.9976544941701736,0.8649261861318556,0.8774354729484386,0.4424012267223421,67.04503273963928
MNIST,resnet18,123,BU,36.04212860310421,0.0,98.66170414950903,0.9996568472178228,0.8581541333823731,0.8634689220406205,0.1853986168967502,6.180624723434448
