dataset,forget_class,seed,method,lpr_acc
CIFAR10,0,42,Retrain,84.24074074074075
CIFAR10,0,42,FT,91.5925925925926
CIFAR10,0,42,BU,88.01851851851852
CIFAR10,0,42,Target,80.38888888888889
CIFAR10,0,123,Retrain,81.9074074074074
CIFAR10,0,123,FT,92.5185185185185
CIFAR10,0,123,BU,89.27777777777777
CIFAR10,0,123,Target,82.64814814814815
CIFAR10,0,456,Retrain,81.68518518518518
CIFAR10,0,456,FT,91.4074074074074
CIFAR10,0,456,BU,87.05555555555556
CIFAR10,0,456,Target,81.96296296296298
CIFAR10,1,42,Retrain,85.7962962962963
CIFAR10,1,42,FT,94.88888888888889
CIFAR10,1,42,BU,92.46296296296296
CIFAR10,1,42,Target,81.03703703703704
CIFAR10,1,123,Retrain,85.70370370370371
CIFAR10,1,123,FT,93.87037037037037
CIFAR10,1,123,BU,91.2962962962963
CIFAR10,1,123,Target,87.5925925925926
CIFAR10,1,456,Retrain,88.37037037037037
CIFAR10,1,456,FT,94.92592592592592
CIFAR10,1,456,BU,91.57407407407408
CIFAR10,1,456,Target,86.51851851851852
CIFAR10,2,42,Retrain,71.53703703703704
CIFAR10,2,42,FT,89.0925925925926
CIFAR10,2,42,BU,85.70370370370371
CIFAR10,2,42,Target,70.81481481481482
CIFAR10,2,123,Retrain,71.44444444444444
CIFAR10,2,123,FT,87.5
CIFAR10,2,123,BU,78.35185185185185
CIFAR10,2,123,Target,73.70370370370371
CIFAR10,2,456,Retrain,75.1111111111111
CIFAR10,2,456,FT,87.4074074074074
CIFAR10,2,456,BU,81.4814814814815
CIFAR10,2,456,Target,70.66666666666667
CIFAR10,3,42,Retrain,70.4074074074074
CIFAR10,3,42,FT,80.51851851851852
CIFAR10,3,42,BU,77.61111111111111
CIFAR10,3,42,Target,70.22222222222221
CIFAR10,3,123,Retrain,71.85185185185186
CIFAR10,3,123,FT,79.25925925925927
CIFAR10,3,123,BU,76.74074074074075
CIFAR10,3,123,Target,69.51851851851852
CIFAR10,3,456,Retrain,71.87037037037037
CIFAR10,3,456,FT,79.07407407407408
CIFAR10,3,456,BU,74.0925925925926
CIFAR10,3,456,Target,68.12962962962963
CIFAR10,4,42,Retrain,78.83333333333333
CIFAR10,4,42,FT,89.98148148148148
CIFAR10,4,42,BU,86.6111111111111
CIFAR10,4,42,Target,74.51851851851852
CIFAR10,4,123,Retrain,78.14814814814814
CIFAR10,4,123,FT,89.70370370370371
CIFAR10,4,123,BU,87.05555555555556
CIFAR10,4,123,Target,74.14814814814814
CIFAR10,4,456,Retrain,79.22222222222221
CIFAR10,4,456,FT,89.31481481481481
CIFAR10,4,456,BU,86.87037037037038
