dataset,architecture,forget_ratio,seed,method,dr_acc,lpr_acc,lpr_auroc
MNIST,resnet18,0.05,42,Retrain,99.38,49.46666666666667,0.4953528888888889
MNIST,resnet18,0.05,42,FT,99.3,50.866666666666674,0.5076426666666667
MNIST,resnet18,0.05,42,Amnesiac,8.05,49.6,0.5091075555555556
MNIST,resnet18,0.05,42,UNSIR,57.82,47.93333333333333,0.47724444444444447
MNIST,resnet18,0.05,42,BU,0.68,51.4,0.5162506666666666
MNIST,resnet18,0.05,42,Target,13.9,47.06666666666667,0.4778275555555555
MNIST,resnet18,0.05,123,Retrain,99.34,47.66666666666667,0.46648711111111113
MNIST,resnet18,0.05,123,FT,99.33,49.06666666666667,0.47376711111111114
MNIST,resnet18,0.05,123,Amnesiac,4.86,49.53333333333333,0.4889795555555555
MNIST,resnet18,0.05,123,UNSIR,55.42,49.53333333333333,0.4973848888888889
MNIST,resnet18,0.05,123,BU,0.7,49.6,0.4922862222222222
MNIST,resnet18,0.05,123,Target,15.25,49.0,0.49394933333333335
MNIST,resnet18,0.05,456,Retrain,99.32,48.6,0.4978311111111111
MNIST,resnet18,0.05,456,FT,99.26,49.8,0.4977511111111111
MNIST,resnet18,0.05,456,Amnesiac,11.71,52.2,0.5187804444444444
MNIST,resnet18,0.05,456,UNSIR,57.79,49.8,0.4976462222222222
MNIST,resnet18,0.05,456,BU,0.11,48.93333333333334,0.4856515555555556
MNIST,resnet18,0.05,456,Target,10.21,49.53333333333333,0.48874133333333336
MNIST,resnet18,0.1,42,Retrain,99.37,49.93333333333333,0.4957813333333333
MNIST,resnet18,0.1,42,FT,99.3,50.26666666666667,0.501312
MNIST,resnet18,0.1,42,Amnesiac,19.12,49.46666666666667,0.4952195555555555
MNIST,resnet18,0.1,42,UNSIR,52.58,52.2,0.5188835555555555
MNIST,resnet18,0.1,42,BU,0.24,49.4,0.49991466666666673
MNIST,resnet18,0.1,42,Target,26.35,48.13333333333333,0.4884106666666666
MNIST,resnet18,0.1,123,Retrain,99.33,48.4,0.48169066666666666
MNIST,resnet18,0.1,123,FT,99.35,48.199999999999996,0.49192533333333327
MNIST,resnet18,0.1,123,Amnesiac,7.07,48.333333333333336,0.49184355555555553
MNIST,resnet18,0.1,123,UNSIR,53.1,49.133333333333326,0.49561955555555554
MNIST,resnet18,0.1,123,BU,0.43,50.26666666666667,0.4880942222222222
MNIST,resnet18,0.1,123,Target,15.11,52.733333333333334,0.5442133333333333
MNIST,resnet18,0.1,456,Retrain,99.34,50.6,0.5026613333333333
MNIST,resnet18,0.1,456,FT,99.25,49.2,0.504016
MNIST,resnet18,0.1,456,Amnesiac,14.9,51.0,0.5058862222222222
